timestamp,res_rpm,res_cht,res_egt,res_oil_p,res_oil_t,res_fuel,res_vib,fault_label
20.0000,11.1488,0.9625,1.7395,-0.0933,-0.4528,-0.4003,0.0097,healthy
20.5000,8.1473,2.4216,0.6354,-0.0288,-0.0915,-0.1619,0.0124,healthy
21.0000,-9.9826,-0.3038,0.0926,-0.1021,-1.8539,0.0677,0.0182,healthy
21.5000,3.4824,-0.5905,0.4116,-0.0671,-0.0737,0.0196,-0.0108,healthy
22.0000,1.7503,-0.7837,-2.7321,0.0315,0.2387,-0.4689,-0.0124,healthy
22.5000,3.2803,2.2047,-3.2258,-0.0844,0.7580,0.1336,0.0119,healthy
23.0000,13.0714,1.0355,1.6316,-0.0794,-1.3199,-0.0143,-0.0341,healthy
23.5000,3.3539,-2.8486,-1.1061,-0.0879,-0.1516,0.5683,-0.0254,healthy
24.0000,10.1837,-2.9147,1.3602,0.0388,1.2398,0.1785,-0.0334,healthy
24.5000,1.0137,-1.2451,4.6530,0.0819,-1.7359,0.4412,0.0221,healthy
25.0000,4.3368,0.3452,-1.3715,-0.0037,-0.0068,-0.2828,0.0217,healthy
25.5000,9.4693,-0.0502,-1.8003,0.0471,-1.5225,-0.4733,0.0165,healthy
26.0000,-21.8573,0.7722,-0.9728,-0.0582,-0.4295,0.3977,0.0009,healthy
26.5000,-4.7951,-0.2632,0.1169,0.0615,-0.8050,0.1044,-0.0091,healthy
27.0000,-7.0556,2.0961,1.8424,-0.0358,0.3743,0.5484,-0.0046,healthy
27.5000,-9.5832,1.1582,-0.0852,0.0334,-0.2952,0.3374,0.0076,healthy
28.0000,-4.1271,0.1164,6.2356,-0.0014,-1.2766,0.3205,0.0139,healthy
28.5000,22.4241,1.7180,1.2625,-0.0959,1.5232,0.1368,-0.0223,healthy
29.0000,-12.9875,-2.4734,2.3425,-0.0443,0.1780,-0.2570,0.0143,healthy
29.5000,14.5242,-0.1276,-0.1106,0.0086,0.9868,-0.3033,0.0216,healthy
30.0000,-25.2430,0.2063,3.0355,-0.0925,-1.0952,-0.6080,0.0163,healthy
30.5000,-5.0233,0.9031,-0.6158,0.0148,-0.3932,-0.1571,-0.0298,healthy
31.0000,2.4413,-2.5727,-1.9327,-0.0708,0.9991,-0.0031,0.0148,healthy
31.5000,8.7933,-0.3906,2.7160,0.0270,-0.7500,-0.0301,-0.0016,healthy
32.0000,10.6684,0.6007,-0.1719,-0.0680,-0.0051,0.0050,0.0312,healthy
32.5000,11.9002,0.7157,0.7358,0.0222,-0.0655,-0.6386,-0.0026,healthy
33.0000,-5.2309,1.7792,2.9456,0.0408,-2.3629,0.0594,0.0220,healthy
33.5000,-6.9353,1.1423,0.4170,-0.0084,-0.0688,0.4586,0.0293,healthy
34.0000,12.8696,-0.0913,-0.4477,-0.0040,-0.4189,-0.2388,0.0162,healthy
34.5000,-2.8696,1.0125,-1.6062,0.0743,-0.1659,-0.4303,-0.0110,healthy
35.0000,-19.1353,-0.3020,3.1850,-0.0392,-0.7195,-0.4722,0.0097,healthy
35.5000,-16.9993,0.2202,-1.0252,-0.0267,-1.2889,-0.1898,-0.0161,healthy
36.0000,-13.7918,1.1922,-0.1533,0.0320,-0.8135,-0.1130,-0.0112,healthy
36.5000,7.4574,-0.0680,0.8607,0.0211,-0.5268,0.0561,0.0233,healthy
37.0000,2.1364,0.5430,0.8484,-0.0121,0.6069,0.2303,0.0010,healthy
37.5000,10.3573,1.4420,3.0411,-0.0608,-0.5598,-0.2907,-0.0028,healthy
38.0000,-6.4088,1.0682,-0.2095,0.0487,0.1099,-0.1566,0.0330,healthy
38.5000,2.3781,1.8502,4.1292,-0.0619,0.2011,-0.4934,0.0281,healthy
39.0000,9.3839,3.4927,-0.7463,0.1139,-0.5409,0.1695,-0.0215,healthy
39.5000,-4.6402,1.0544,1.1123,-0.0598,0.9714,-0.1189,0.0022,healthy
40.0000,6.8516,-0.6919,-0.5513,-0.0553,-0.3751,-0.0740,-0.0078,healthy
40.5000,-9.9289,0.7677,6.2794,0.0171,-0.5611,0.3888,-0.0048,healthy
41.0000,-5.4458,0.7032,-1.0519,0.0275,1.1049,0.0282,0.0210,healthy
41.5000,-5.7261,0.9203,-0.7806,-0.0487,0.1370,0.5045,0.0136,healthy
42.0000,-17.9376,2.2425,0.3442,0.0846,-2.3918,0.2205,-0.0317,healthy
42.5000,7.3046,-2.5262,-0.8003,0.0165,-2.6588,-0.1322,0.0226,healthy
43.0000,-7.0410,2.2708,0.9435,-0.0124,1.5934,-0.3384,-0.0091,healthy
43.5000,0.1874,2.7756,3.6873,0.0193,0.0829,-0.0515,0.0088,healthy
44.0000,7.2112,0.8521,0.4419,0.0605,-0.1739,0.3024,0.0138,healthy
44.5000,6.6980,0.8882,0.5528,0.0805,-2.2185,-0.4205,0.0151,healthy
45.0000,9.9808,-0.3625,-0.6874,0.0096,-0.1463,-0.1851,-0.0112,healthy
45.5000,-1.4773,0.0095,-1.5152,-0.0637,-1.0547,-0.2528,0.0089,healthy
46.0000,-6.3495,1.0469,0.2896,-0.0629,-0.3156,-0.1299,0.0172,healthy
46.5000,-1.1958,0.9503,0.0228,-0.0707,-0.7284,0.1163,-0.0026,healthy
47.0000,-25.3100,1.0811,3.5198,-0.0321,-0.2896,0.0567,-0.0090,healthy
47.5000,-21.7067,0.9400,-2.8772,0.0019,0.1936,0.0507,-0.0200,healthy
48.0000,-19.8405,1.3476,4.3636,0.0107,0.3728,-0.4206,0.0362,healthy
48.5000,-14.9587,1.1800,-0.4404,0.0563,-0.0653,0.2108,-0.0239,healthy
49.0000,5.9966,-1.5365,0.4456,-0.1037,0.1066,0.2973,-0.0185,healthy
49.5000,-13.5822,1.2484,-3.1945,-0.0005,-1.7844,-0.0736,0.0048,healthy
50.0000,-5.6724,2.7879,1.6858,0.0230,-0.0839,-0.2701,-0.0198,healthy
50.5000,19.4884,-0.0399,-2.8814,-0.1404,0.2069,0.2432,0.0361,healthy
51.0000,-5.3440,2.2492,1.1202,0.0227,-0.0793,0.4001,-0.0242,healthy
51.5000,11.0627,-1.3759,0.8271,0.1365,1.4859,0.1126,0.0038,healthy
52.0000,-14.0043,-0.0446,-0.9769,0.0387,-0.2643,-0.2186,0.0186,healthy
52.5000,-3.0816,-0.9617,-6.1958,0.0154,-1.3243,-0.3190,-0.0239,healthy
53.0000,-14.2503,2.0688,6.4819,-0.0137,-0.0005,0.1694,-0.0159,healthy
53.5000,-5.0855,2.4607,-3.1626,0.0116,-0.5743,-0.4698,0.0025,healthy
54.0000,12.6046,-0.1488,0.8182,0.0769,-1.7249,-0.4191,-0.0130,healthy
54.5000,-25.9098,1.7566,-2.1894,-0.0173,-0.3046,0.0631,0.0085,healthy
55.0000,6.5164,2.4759,3.1440,0.0597,1.4758,0.4706,-0.0043,healthy
55.5000,3.5660,-0.0494,-1.1385,0.0232,-0.3689,0.3448,0.0022,healthy
56.0000,-8.9122,0.1946,-2.2559,0.0813,1.0833,0.1139,0.0137,healthy
56.5000,-21.6909,1.1004,1.7855,0.0545,0.7176,-0.6268,-0.0174,healthy
57.0000,1.0819,-1.2638,-3.8159,0.0095,2.3669,-0.7371,0.0002,healthy
57.5000,-7.9424,0.1651,-1.2398,0.0063,0.4539,-0.0522,-0.0045,healthy
58.0000,3.4901,3.2142,2.0707,-0.0157,0.0764,0.5294,-0.0181,healthy
58.5000,0.3278,-0.7500,4.5205,0.0488,0.0894,-0.2676,0.0163,healthy
59.0000,24.0267,1.2807,-2.8872,-0.0295,0.2785,0.2587,-0.0331,healthy
59.5000,-3.5903,0.7857,-1.8347,0.0057,-0.2599,0.0927,-0.0271,healthy
60.0000,-15.3525,-0.2456,1.0564,-0.0097,-0.5084,-0.1721,0.0137,healthy
60.5000,2.6891,0.3325,-5.9923,-0.0671,0.4610,-0.1232,-0.0281,healthy
61.0000,3.3000,2.6289,4.0729,0.0110,-0.6326,-0.5051,0.0343,healthy
61.5000,20.3878,0.8304,-2.9985,-0.0763,-1.8669,0.1319,-0.0293,healthy
62.0000,12.5267,1.0647,-1.3122,-0.0224,-1.3103,-0.1965,0.0304,healthy
62.5000,5.3531,2.4013,0.7825,0.0334,1.6469,0.2546,0.0182,healthy
63.0000,21.9495,-0.4341,0.1537,0.0084,-0.3190,-0.0676,-0.0319,healthy
63.5000,-17.8314,-1.5704,-2.8908,0.0076,0.7683,-0.0889,0.0007,healthy
64.0000,-9.5963,2.6525,5.1644,-0.0432,-0.6978,-0.6343,-0.0283,healthy
64.5000,-13.8986,0.2048,-7.7254,0.0524,0.8893,0.0865,-0.0165,healthy
65.0000,-5.8471,1.3404,-3.3660,-0.0443,0.4023,0.1532,-0.0094,healthy
65.5000,-20.6503,-1.1435,-1.9103,0.0353,1.9910,0.3776,-0.0413,healthy
66.0000,9.5273,0.5828,-2.8491,0.0649,1.3166,-0.2535,-0.0144,healthy
66.5000,-3.3333,-1.6454,3.6587,-0.0765,0.7357,0.0795,-0.0049,healthy
67.0000,-22.0621,0.0956,-4.9750,-0.0203,-0.5887,0.1199,-0.0048,healthy
67.5000,-15.2337,-0.9719,4.6724,-0.0249,-1.1758,-0.3829,-0.0284,healthy
68.0000,4.7027,-1.3165,-0.8344,0.0136,-0.1403,-0.1878,-0.0098,healthy
68.5000,12.5719,-0.4547,-4.0828,-0.0472,0.0190,-0.3560,0.0035,healthy
69.0000,29.9510,-3.4401,-6.3027,-0.0583,-0.4089,-0.3309,0.0144,healthy
69.5000,43.7079,-1.7399,-0.6454,-0.0027,0.7051,-0.1188,0.0501,healthy
70.0000,6.2161,1.1736,-2.1059,-0.0281,0.0775,-0.2077,0.0222,healthy
70.5000,-14.8431,0.5215,0.7095,-0.0073,-0.0024,-0.0051,-0.0186,healthy
71.0000,-31.9807,-1.6113,-1.3517,0.0446,1.5241,0.1880,-0.0108,healthy
71.5000,4.0157,0.8218,2.8674,-0.0809,0.1046,0.1777,0.0073,healthy
72.0000,-12.1941,-1.3173,-0.4275,-0.0057,-1.3553,0.2360,0.0253,healthy
72.5000,-6.2304,1.0829,-1.2717,-0.0295,1.0239,-0.0797,0.0348,healthy
73.0000,-9.1815,-0.1735,2.9198,0.0012,0.2095,-0.1545,-0.0346,healthy
73.5000,-2.1119,-0.4877,0.6845,-0.0294,-0.2725,-0.3693,0.0198,healthy
74.0000,15.9897,-0.1366,2.3239,-0.0590,-0.9560,0.2099,-0.0258,healthy
74.5000,2.3557,3.8393,3.4460,0.0197,1.2612,0.2929,-0.0057,healthy
75.0000,-2.3795,-1.1382,-0.8814,0.1386,1.6903,0.3759,0.0195,healthy
75.5000,-15.5348,0.3398,0.1147,-0.0050,-0.6724,0.0943,-0.0167,healthy
76.0000,-25.1202,1.1721,2.5314,-0.0363,0.2976,-0.1400,-0.0096,healthy
76.5000,-7.2946,-1.4436,-7.3520,-0.0365,0.4390,-0.3259,0.0384,healthy
77.0000,-0.8067,-2.3914,-0.3053,0.0467,-1.7435,-0.4021,0.0323,healthy
77.5000,26.5189,-0.9016,-0.6746,-0.0438,-0.0437,-0.5885,0.0092,healthy
78.0000,1.9541,1.1392,1.1222,0.0650,-1.7412,0.3084,-0.0370,healthy
78.5000,14.7411,-0.5130,-2.4033,-0.0818,-0.0183,0.1147,-0.0329,healthy
79.0000,-7.4894,-0.3467,3.2863,0.0096,2.2630,0.7008,0.0026,healthy
79.5000,-17.7742,1.3662,-2.2133,0.0332,-1.4491,-0.0362,0.0093,healthy
80.0000,-14.4768,-1.2095,-1.3771,0.0381,1.8763,0.0172,0.0052,healthy
80.5000,-10.8784,-0.1331,-1.9932,0.0346,1.7764,0.1086,-0.0207,healthy
81.0000,31.9270,-2.2708,3.6896,0.0133,-0.0056,0.1795,-0.0012,healthy
81.5000,-12.3208,0.4811,-6.2567,0.0577,0.5152,-0.2026,0.0206,healthy
82.0000,12.5773,0.3443,5.3606,-0.0495,-0.2834,-0.0126,-0.0033,healthy
82.5000,-13.5439,1.1933,4.4201,-0.0322,-0.4472,0.2313,-0.0183,healthy
83.0000,13.9736,-1.7179,-1.6946,-0.0202,0.2033,0.4771,0.0017,healthy
83.5000,5.7743,-0.2878,3.0808,0.0742,-0.7747,-0.2745,0.0095,healthy
84.0000,-2.3496,-1.9177,0.3903,0.0233,0.4731,0.0585,-0.0072,healthy
84.5000,-0.6114,-0.3692,4.9587,0.0341,0.0415,0.0276,0.0061,healthy
85.0000,-9.8218,2.2227,2.8520,-0.0090,-1.0673,-0.0830,-0.0036,healthy
85.5000,6.6911,-0.4811,6.5794,0.0408,0.7095,0.3034,-0.0289,healthy
86.0000,-6.8248,-2.0489,-4.6864,-0.0776,0.7357,0.6840,-0.0066,healthy
86.5000,-18.3841,-1.0198,0.5740,-0.0204,1.1230,0.1099,0.0201,healthy
87.0000,-19.1691,-2.4164,-5.1723,-0.0109,-0.4797,-0.2343,-0.0078,healthy
87.5000,2.5888,-1.9437,-1.5561,-0.0237,1.0289,-0.4278,0.0404,healthy
88.0000,23.6864,1.0065,6.7490,-0.0161,2.1667,-0.0221,-0.0374,healthy
88.5000,2.3999,-2.1694,1.4046,0.0273,0.0297,0.2831,0.0085,healthy
89.0000,-1.7796,0.4685,2.9536,0.0119,0.1187,-0.0623,0.0119,healthy
89.5000,4.2874,0.0386,1.5418,0.0597,0.6787,0.0778,-0.0222,healthy
90.0000,19.5900,-0.7973,1.3514,-0.1043,-2.1657,0.5863,-0.0010,healthy
90.5000,3.2907,0.3410,-1.5670,0.0744,-1.3661,0.1945,-0.0443,healthy
91.0000,-6.1639,-1.4065,-2.1259,-0.0325,-0.5507,0.0170,0.0011,healthy
91.5000,16.5943,1.2613,-1.6475,0.0658,-0.3410,-0.4035,-0.0089,healthy
92.0000,6.4313,-1.0475,-8.1912,-0.0209,0.1122,0.2414,0.0071,healthy
92.5000,23.0363,-0.5796,-0.2461,0.0185,0.2673,0.1674,0.0115,healthy
93.0000,2.7485,-0.7580,0.7196,-0.0538,-1.3730,0.2477,-0.0041,healthy
93.5000,-18.3670,1.0342,-1.8577,-0.0608,1.1523,-0.3759,-0.0232,healthy
94.0000,-20.5224,0.8167,-0.3920,0.0291,0.3331,-0.0095,-0.0272,healthy
94.5000,24.7639,-3.9326,1.5751,-0.1332,0.0598,0.1740,-0.0227,healthy
95.0000,25.8550,0.3814,2.6544,-0.0608,0.4905,-0.4402,0.0061,healthy
95.5000,-2.6928,-2.6169,-3.5934,0.0383,-0.6153,0.0397,0.0056,healthy
96.0000,-5.7478,-0.5120,-2.3843,-0.0207,-0.2385,0.3259,-0.0450,healthy
96.5000,21.9217,-0.1623,2.2589,-0.0441,-1.0827,-0.1925,0.0364,healthy
97.0000,-16.6057,-0.5281,1.7670,0.0761,-2.2040,0.3178,0.0059,healthy
97.5000,-13.4209,0.7512,4.0332,0.0937,-0.2364,0.0082,-0.0099,healthy
98.0000,9.6499,1.0801,3.9088,0.0000,1.7246,0.0290,-0.0151,healthy
98.5000,-5.9191,-1.1602,7.2446,0.0637,-0.5687,0.2952,-0.0089,healthy
99.0000,-0.0768,-1.2147,-0.8783,0.0759,-1.5567,-0.2049,0.0238,healthy
99.5000,-2.4516,-0.0540,4.7357,-0.0008,0.5647,-0.3879,0.0160,healthy
100.0000,5.0636,-2.3156,-2.7600,-0.0256,-0.4787,-0.0797,-0.0021,healthy
100.5000,21.1122,-0.7155,7.1822,0.0044,0.4374,0.0984,0.0201,healthy
101.0000,1.3588,2.0221,1.3641,-0.0727,0.6608,0.1050,0.0155,healthy
101.5000,9.6591,-2.2595,1.6261,0.0284,-0.5065,0.0947,-0.0040,healthy
102.0000,-30.7526,-0.5102,2.9698,-0.0165,0.4148,-0.2233,0.0219,healthy
102.5000,-0.7308,-0.8885,-4.0661,0.0028,-0.0355,0.1426,0.0256,healthy
103.0000,-12.6485,3.0079,-3.2243,0.0021,-1.9679,-0.0315,0.0234,healthy
103.5000,-18.2822,-0.8068,0.3470,-0.0424,-0.5246,0.4580,0.0111,healthy
104.0000,-13.1723,-0.7197,1.0372,-0.0018,-0.8298,0.2668,0.0104,healthy
104.5000,-5.0119,-1.5461,6.2477,-0.0680,-1.5082,0.1558,-0.0174,healthy
105.0000,13.7385,0.0140,-2.8476,-0.0241,-0.8473,-0.0544,-0.0388,healthy
105.5000,-19.8959,0.4053,4.6206,-0.0557,0.6712,-0.1068,0.0053,healthy
106.0000,0.4595,-1.3287,-0.7968,-0.0438,0.0140,-0.0680,-0.0047,healthy
106.5000,-7.2625,1.4831,-0.8386,-0.1129,-1.8557,0.0826,-0.0078,healthy
107.0000,-4.9151,0.4066,-0.4915,-0.0215,-1.1109,0.2936,-0.0279,healthy
107.5000,15.0414,1.2778,-0.9158,0.0243,0.0152,-0.4399,0.0148,healthy
108.0000,8.0717,-0.4922,1.4596,0.0089,-0.0030,-0.1503,-0.0037,healthy
108.5000,20.0610,0.3648,-1.1848,0.0542,-0.3204,0.3740,-0.0207,healthy
109.0000,-2.3176,-0.3196,-4.2314,-0.0476,0.7534,-0.1711,-0.0137,healthy
109.5000,-10.4391,2.1865,-0.8034,-0.0239,0.3690,-0.2539,-0.0217,healthy
110.0000,-3.3579,0.1744,1.3699,0.0459,-0.5714,0.3204,-0.0064,healthy
110.5000,3.6375,0.0131,-4.2070,-0.0043,-0.6753,0.1505,-0.0003,healthy
111.0000,2.6486,-0.6874,1.7455,0.0092,-0.2015,0.0663,0.0095,healthy
111.5000,-16.2658,-0.7739,3.5416,0.1057,-2.0835,0.1830,-0.0366,healthy
112.0000,1.3573,0.3566,4.4398,-0.0127,0.2921,-0.0853,0.0027,healthy
112.5000,3.4234,1.2294,1.0130,-0.0242,-1.2565,0.0103,-0.0310,healthy
113.0000,37.7621,-1.0268,-5.4140,-0.0496,1.2095,0.0280,-0.0086,healthy
113.5000,28.1527,0.1899,1.9429,-0.0145,-1.7120,-0.0976,0.0083,healthy
114.0000,-12.7987,0.2763,2.9015,0.0511,0.3696,-0.0994,-0.0047,healthy
114.5000,-4.3108,0.5375,-2.0896,0.0287,-1.9912,-0.2635,-0.0413,healthy
115.0000,-21.9516,-2.5612,-0.2180,0.0716,-0.6456,-0.1501,-0.0095,healthy
115.5000,-8.8606,-1.3871,1.4508,0.0180,0.3955,-0.1317,0.0312,healthy
116.0000,4.7341,-2.0488,5.3618,-0.1120,0.9174,-0.5604,0.0205,healthy
116.5000,18.0878,0.0493,-0.7675,0.0315,0.8670,0.1806,0.0488,healthy
117.0000,-10.9363,-1.3515,2.6738,0.0052,0.6873,0.0800,0.0013,healthy
117.5000,-9.8122,-0.7444,0.9489,0.0001,0.7982,0.4449,-0.0146,healthy
118.0000,-32.2093,-1.7914,0.5983,0.0609,0.8828,-0.3954,-0.0081,healthy
118.5000,-2.4400,-0.6049,3.9914,-0.0137,-0.5660,-0.3042,0.0032,healthy
119.0000,-15.9362,-1.6862,-2.4943,0.0290,-0.3883,0.2805,-0.0061,healthy
119.5000,-7.9416,1.1369,0.6912,-0.0538,0.6696,-0.3629,0.0140,healthy
120.0000,-13.1529,0.7188,0.0816,-0.0759,1.0871,-0.0143,0.0108,healthy
120.5000,-1.4139,0.2253,-4.5208,-0.0299,-0.1691,-0.0738,-0.0288,healthy
121.0000,-26.3659,-0.4529,3.6978,-0.0157,-0.5569,0.4592,0.0173,healthy
121.5000,-22.0057,-3.0565,2.4871,0.0274,-0.5904,-0.0161,0.0033,healthy
122.0000,31.9387,-0.6873,0.1016,-0.0549,-0.8528,-0.0172,0.0316,healthy
122.5000,-19.3113,-1.1422,-0.7841,0.0753,0.4442,0.0655,0.0202,healthy
123.0000,-16.4518,0.3709,0.0007,-0.0483,1.1075,-0.2589,0.0222,healthy
123.5000,27.5537,0.9296,2.1221,-0.0044,0.4592,-0.1533,-0.0016,healthy
124.0000,43.5760,0.4869,0.1587,0.0006,-0.0440,-0.3304,-0.0262,healthy
124.5000,-17.5735,1.8946,-2.0025,0.0150,1.8920,0.1941,0.0263,healthy
125.0000,-5.5237,-0.8525,-1.5512,0.0225,-0.0187,0.2069,0.0150,healthy
125.5000,5.1233,-0.9147,-0.0364,0.1131,1.3694,-0.2540,0.0339,healthy
126.0000,25.9305,1.5568,-2.7978,-0.0301,-1.0981,-0.0777,-0.0095,healthy
126.5000,-14.8029,0.2493,1.0000,0.0156,0.2087,0.0473,0.0071,healthy
127.0000,-3.6792,-0.3705,-2.3790,-0.0042,-0.9893,-0.4161,0.0012,healthy
127.5000,11.6601,2.7698,-2.8630,0.0491,-0.9272,0.1598,-0.0127,healthy
128.0000,6.5215,0.8666,9.5794,0.0224,-0.8140,-0.3214,-0.0328,healthy
128.5000,-5.6423,-0.2858,5.8196,0.0110,0.0611,-0.5080,-0.0065,healthy
129.0000,-2.0073,-1.0289,0.4318,-0.0747,-0.4641,0.0174,-0.0157,healthy
129.5000,-20.6234,1.9898,2.5530,-0.0227,-2.0709,0.1812,0.0253,healthy
130.0000,-3.5726,0.3105,3.0628,-0.0488,-0.4360,0.2693,0.0073,healthy
130.5000,-3.9958,0.0368,-0.2263,-0.0224,-0.6259,0.1381,-0.0097,healthy
131.0000,3.4825,1.0144,0.8483,-0.0413,-1.7490,-0.2048,0.0241,healthy
131.5000,-8.3299,1.3201,-0.7865,-0.0259,0.4527,0.5543,0.0182,healthy
132.0000,7.0731,0.8248,3.7670,-0.0205,0.6652,0.0189,0.0035,healthy
132.5000,15.1907,1.3260,3.8083,-0.0197,0.6167,-0.2781,0.0003,healthy
133.0000,2.3314,0.6771,4.6858,-0.0147,1.7032,0.2901,-0.0187,healthy
133.5000,5.2763,0.8323,0.7980,-0.0464,-1.1221,0.0869,0.0047,healthy
134.0000,0.7973,-1.0975,6.5034,0.0019,-1.0974,0.6095,-0.0026,healthy
134.5000,0.0013,2.7155,-0.2291,-0.0451,-0.0344,0.4641,0.0243,healthy
135.0000,-10.8234,-1.8505,6.1408,-0.0299,-0.1191,-0.1191,0.0096,healthy
135.5000,4.7474,0.4641,-1.3899,-0.0025,0.1336,-0.3663,-0.0057,healthy
136.0000,-1.4593,-2.0052,-3.8923,-0.1291,0.8360,-0.1497,0.0266,healthy
136.5000,31.3975,-0.1472,6.0834,0.1246,-0.2558,-0.6944,-0.0108,healthy
137.0000,23.6003,-0.8569,1.9811,0.0262,1.0329,0.0106,-0.0079,healthy
137.5000,5.7877,0.2036,1.5574,0.0160,-0.7713,0.2947,0.0029,healthy
138.0000,-11.4459,0.5126,-1.0815,-0.0261,-0.5070,0.0073,0.0135,healthy
138.5000,-16.6862,-1.4345,-2.5354,0.0047,-1.1111,0.1437,0.0092,healthy
139.0000,17.8671,-0.0441,-2.2508,-0.0605,-3.4115,0.2316,0.0374,healthy
139.5000,3.9412,2.0905,0.4156,0.0245,-1.7502,0.4482,0.0127,healthy
140.0000,7.2022,-1.9684,-0.4506,-0.0842,0.8949,0.0497,-0.0350,healthy
140.5000,-26.1688,-1.2811,-5.8217,-0.0634,1.1025,-0.0653,0.0053,healthy
141.0000,13.9116,1.2911,5.0813,-0.0355,-1.2791,-0.1712,0.0028,healthy
141.5000,6.8163,0.1163,-1.2591,0.0755,0.9314,0.4808,-0.0166,healthy
142.0000,-16.6565,0.2267,3.7152,-0.0551,-2.4284,-0.1774,-0.0027,healthy
142.5000,-7.0729,1.5335,-2.1169,0.0167,-1.0315,0.5556,-0.0253,healthy
143.0000,3.9558,-1.1911,0.4645,-0.1031,-0.4676,-0.0990,0.0064,healthy
143.5000,0.7870,-0.7790,2.9169,0.0012,1.0537,-0.2508,-0.0015,healthy
144.0000,-4.3826,-0.9640,2.5030,0.0868,1.8064,0.1283,-0.0187,healthy
144.5000,-1.5523,-0.5223,-0.8039,0.0250,-0.4631,0.0737,-0.0089,healthy
145.0000,-3.7797,2.0093,1.5279,-0.1037,-0.0684,-0.4976,0.0248,healthy
145.5000,2.2884,-2.5516,2.0278,0.0022,1.0407,0.2094,0.0028,healthy
