timestamp,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,mission_phase,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
16,3450.1,75,55.47,89.91,179.4,649.9,24.87,0.235,12.02,25,1000,cruise,262.9,-0.14,-0.18,0.1,0.8,0.03,0.358,-0.02,0.984,200
17,3578.1,75,55.38,90.11,179.6,649.5,24.97,0.198,12.01,25,1000,cruise,44.3,-0.08,0.08,0.3,-0.7,0.01,-0.995,-0.03,0.983,200
18,3483.6,75,54.94,90.38,179.3,650.0,25.19,0.233,12.09,25,1000,cruise,33.1,-0.06,-0.14,-0.0,0.7,-0.06,-0.572,0.04,0.982,200
19,3520.5,75,55.17,90.1,180.2,651.3,24.81,0.209,11.96,25,1000,cruise,15.3,0.13,-0.14,-0.4,-0.7,0.03,0.65,-0.05,0.981,200
20,3634.5,75,54.62,89.57,179.0,648.3,25.19,0.201,11.95,25,1000,cruise,-158.8,0.14,0.05,-0.0,0.2,-0.01,0.221,0.04,0.98,200
21,3433.1,75,54.68,89.72,179.3,649.0,24.99,0.202,12.0,25,1000,cruise,-123.2,-0.13,0.07,0.3,-0.3,0.04,0.185,-0.02,0.979,200
22,3655.8,75,54.96,89.72,179.4,649.6,24.82,0.185,11.98,25,1000,cruise,312.0,0.08,0.06,0.3,-0.6,0.09,0.621,-0.02,0.978,200
23,3620.5,75,54.54,89.88,180.7,648.4,25.08,0.182,11.92,25,1000,cruise,-168.1,-0.15,-0.02,0.2,-0.4,-0.09,0.749,-0.03,0.977,200
24,3689.6,75,54.57,90.05,179.4,648.2,25.17,0.19,12.02,25,1000,cruise,200.1,0.14,-0.13,0.4,0.5,0.08,0.267,-0.0,0.976,200
25,3728.8,75,55.27,89.78,179.4,649.1,25.04,0.246,11.91,25,1000,cruise,386.5,-0.18,-0.03,-0.0,0.7,-0.04,-0.285,0.01,0.975,200
26,3552.7,75,55.27,90.18,180.7,651.2,24.85,0.201,12.02,25,1000,cruise,-135.6,-0.18,0.19,0.1,-0.7,0.02,-0.41,0.03,0.974,200
27,3781.9,75,55.05,89.9,179.9,651.4,25.15,0.279,11.96,25,1000,cruise,138.0,-0.13,0.04,0.2,-0.1,0.08,0.875,0.02,0.973,200
28,3555.1,75,54.55,89.56,179.5,648.4,25.2,0.232,11.98,25,1000,cruise,77.9,-0.07,-0.18,-0.1,-1.0,0.09,-0.621,0.01,0.972,200
29,3516.6,75,54.76,90.07,179.1,650.4,24.91,0.197,11.99,25,1000,cruise,-303.2,0.11,0.02,0.5,-0.2,0.06,-0.53,0.02,0.971,200
30,3711.5,75,55.1,90.13,180.3,649.4,24.98,0.285,11.95,25,1000,cruise,106.8,-0.03,0.07,-0.5,0.9,0.09,0.456,-0.03,0.97,200
31,3657.0,75,54.51,90.26,179.3,649.1,24.94,0.258,12.05,25,1000,cruise,310.9,0.16,0.19,0.5,0.4,0.01,0.906,0.05,0.969,200
32,3686.4,75,54.95,89.52,180.3,650.3,25.12,0.276,11.9,25,1000,cruise,136.2,-0.19,-0.0,-0.5,0.0,-0.02,0.2,0.03,0.968,200
33,3498.1,75,54.62,90.45,180.3,648.1,25.19,0.238,12.09,25,1000,cruise,-100.5,0.03,0.19,0.0,0.0,0.08,0.37,-0.02,0.967,200
34,3736.6,75,54.65,90.08,180.6,649.8,24.95,0.244,12.02,25,1000,cruise,134.9,-0.07,-0.04,0.0,-0.3,0.08,-0.387,0.0,0.966,200
35,3761.6,75,55.31,89.96,180.1,649.4,24.86,0.252,11.92,25,1000,cruise,-99.2,0.06,0.17,0.4,-0.7,-0.06,0.057,0.01,0.965,200
36,3722.9,75,55.3,89.71,180.0,648.5,25.08,0.233,11.98,25,1000,cruise,-220.9,0.05,0.1,-0.2,0.8,-0.09,-0.382,-0.05,0.964,200
37,3614.2,75,54.58,89.54,179.2,649.8,24.96,0.248,12.06,25,1000,cruise,268.4,0.15,0.13,-0.1,0.7,-0.04,-0.414,-0.04,0.963,200
38,3488.0,75,54.72,90.27,180.8,650.0,25.16,0.21,11.93,25,1000,cruise,-213.2,0.0,0.16,-0.1,-0.6,0.01,0.5,-0.01,0.962,200
39,3499.2,75,54.63,89.98,180.1,649.7,25.0,0.238,12.02,25,1000,cruise,353.9,0.15,-0.12,-0.2,0.8,0.03,0.825,-0.01,0.961,200
40,3799.9,75,54.93,90.26,180.7,649.8,24.9,0.285,12.01,25,1000,cruise,15.1,-0.01,-0.07,-0.5,-0.5,-0.03,0.065,0.03,0.96,200
